AC#5,N22632,96%,4Hr,IFR,13:00,14:01:28,370,F,2120,KONT,15:01:28,16:02:56,380,F,2121,KSMF
AC#5,N72163,39%,6Hr,IFR,13:05,14:17:14,380,F,796,KSMF,15:17:14,16:29:28,370,F,797,KSAN
AC#5,N24465,32%,6Hr,IFR,13:05,14:17:14,370,F,8038,KSAN,15:17:14,16:29:28,380,F,8039,KSMF
AC#5,N20354,74%,4Hr,IFR,13:10,14:09:29,370,F,2915,KLAX,15:09:29,16:08:58,380,F,2916,KSMF
AC#5,N94065,36%,12Hr,IFR,13:15,14:22:23,380,F,8326,KSMF,15:22:23,16:29:46,370,F,8327,KPSP
AC#5,N85663,59%,4Hr,IFR,13:20,14:21:13,380,F,8638,KSMF,15:21:13,16:22:26,370,F,8639,KLGB
AC#5,N15216,77%,4Hr,IFR,13:25,14:22:46,370,F,3688,KBUR,15:22:46,16:20:32,380,F,3689,KSMF
AC#5,N46962,50%,6Hr,IFR,13:30,14:30:49,370,F,1784,KSMF,15:30:49,16:31:38,380,F,1785,KEUG
AC#5,N75275,47%,6Hr,IFR,13:35,14:47:07,370,F,7647,KSMF,15:47:07,16:59:14,380,F,7648,KPDX
AC#5,N88993,92%,6Hr,IFR,13:35,14:47:07,380,F,943,KPDX,15:47:07,16:59:14,370,F,944,KSMF
AC#1,N91683,43%,4Hr,IFR,13:40,14:27:56,200,F,7157,KSMF,15:27:56,16:15:52,210,F,7158,KFAT
AC#1,N30046,42%,6Hr,IFR,13:45,14:52:08,200,F,8238,KSMF,15:52:08,16:59:16,210,F,8239,KBFL
AC#1,N24079,99%,6Hr,IFR,13:45,14:52:08,210,F,6192,KBFL,15:52:08,16:59:16,200,F,6193,KSMF
AC#1,N19054,74%,4Hr,IFR,13:50,14:30:43,210,F,3256,KSMF,15:30:43,16:11:26,200,F,3257,KRDD
AC#1,N66045,76%,12Hr,IFR,13:55,14:50:38,210,F,3705,KSMF,15:50:38,16:46:16,200,F,3706,KACV
AC#1,N48514,73%,6Hr,IFR,14:00,14:43:47,210,F,7342,KSMF,15:43:47,16:27:34,200,F,7343,KMRY
AC#1,N33778,37%,6Hr,IFR,14:05,15:21:04,200,F,4773,KSMF,16:21:04,17:37:08,210,F,4774,KSBA
AC#1,N15313,48%,6Hr,IFR,14:10,15:18:02,200,F,4361,KSMF,16:18:02,17:26:04,210,F,4362,KSMX
AC#1,N50049,66%,6Hr,IFR,14:15,14:52:06,200,F,8135,KSMF,15:52:06,16:29:12,210,F,8136,KRNO
AC#1,N16358,40%,6Hr,IFR,14:20,15:26:42,210,F,6476,KSMF,16:26:42,17:33:24,200,F,6477,KMFR
AC#1,N44901,64%,12Hr,IFR,14:25,15:27:03,210,F,6600,KSMF,16:27:03,17:29:06,200,F,6601,KLMT
AC#1,N17563,8%,6Hr,IFR,14:30,16:00:39,200,F,8133,KSMF,17:00:39,18:31:18,210,F,8134,KRDM
